ITEMNMBR,warehouse location,predicted_demand for location (item count),Current inventory for location (item count),Current gap (item count),Item value,Aggregate metric
A-61260,3,1083.7539660467155,0.0,1083.7539660467155,0.706379668212523,-0.26667536616878795
F-04075,3,17834.721121196726,714.3,17120.421121196727,0.6978947703399655,-0.26722209484303716
F-04073,L,40788.51724137932,4215.98,36572.53724137932,0.687636793559192,-0.2678066734727528
A-61260,E1,0.0,0.0,0.0,0.706379668212523,-0.2679633314962072
A-61260,L,0.0,0.0,0.0,0.706379668212523,-0.2679633314962072
A-61260,U,0.0,0.0,0.0,0.706379668212523,-0.2679633314962072
A-61260,W,0.0,0.0,0.0,0.706379668212523,-0.2679633314962072
D-13206,2,13906.506838851166,1748.16,12158.346838851166,0.6983806046869521,-0.2719966035988537
D-13206,1,10225.193380574145,876.74,9348.453380574145,0.6983806046869521,-0.2753359642483971
F-04075,1,18624.124630541875,11790.8,6833.324630541876,0.6978947703399655,-0.27944758514330403
D-13212,1,3220.3919407872713,0.0,3220.3919407872713,0.6990942958482895,-0.2809696814333077
D-13212,2,2932.9294825073266,0.0,2932.9294825073266,0.6990942958482895,-0.2813113103369138
D-13206,3,4518.683818298781,619.03,3899.6538182987815,0.6983806046869521,-0.28181147910890325
D-13212,3,245.45097649593038,0.0,245.45097649593038,0.6990942958482895,-0.2845051894297429
D-13212,E1,0.0,0.0,0.0,0.6990942958482895,-0.2847968906434982
D-13212,L,0.0,0.0,0.0,0.6990942958482895,-0.2847968906434982
D-13212,U,0.0,0.0,0.0,0.6990942958482895,-0.2847968906434982
D-13212,W,0.0,0.0,0.0,0.6990942958482895,-0.2847968906434982
F-04118,3,9270.41517952008,607.02,8663.39517952008,0.694197707481601,-0.285815097229427
D-13206,E1,80.4511111111111,3.43,77.0211111111111,0.6983806046869521,-0.28635440909168897
F-04075,2,33344.89163212276,32388.57,956.3216321227592,0.6978947703399655,-0.2864319896559946
D-13206,W,0.0,3.24,-3.24,0.6983806046869521,-0.28644979377445823
D-13206,L,0.0,13.46,-13.46,0.6983806046869521,-0.28646193952530075
D-13206,U,0.0,146.95,-146.95,0.6983806046869521,-0.28662058299692217
F-04070,L,50610.9827586207,6664.87,43946.1127586207,0.6756374461020103,-0.28676935344009924
F-04118,E1,7503.985277777778,17.71,7486.275277777778,0.694197707481601,-0.28721402140147834
F-04075,E1,58.16180555555558,5.78,52.38180555555558,0.6978947703399655,-0.28750625853174216
F-04075,W,0.0,44.94,-44.94,0.6978947703399655,-0.2876219186493375
F-04074,L,46320.04926108376,2340.91,43979.139261083765,0.6748361165973409,-0.2885816532734703
F-04075,U,0.0,2040.64,-2040.64,0.6978947703399655,-0.2899936676666046
F-04112,E1,4271.835632183907,33.27,4238.565632183907,0.6944773732591767,-0.2904275008895202
A-61260N,2,13205.259681488746,2787.24,10418.019681488746,0.6895116588487333,-0.29455741914529565
F-04112,W,0.0,59.25,-59.25,0.6944773732591767,-0.2955351523411549
F-04112,L,0.0,246.38,-246.38,0.6944773732591767,-0.2957575431782553
F-04118,W,0.0,7.97,-7.97,0.694197707481601,-0.2961204045616368
F-04118,L,0.0,33.14,-33.14,0.694197707481601,-0.2961503173354829
F-04118,U,0.0,361.83,-361.83,0.694197707481601,-0.29654094227133776
F-04112,U,0.0,2690.04,-2690.04,0.6944773732591767,-0.2986616611336268
F-04071,3,68675.10881482688,1178.16,67496.94881482687,0.6574777506896619,-0.3007405787944748
A-61260N,1,4362.409882986506,1716.71,2645.699882986506,0.6895116588487333,-0.3037942743058826
A-61260N,3,1907.605040284911,558.94,1348.665040284911,0.6895116588487333,-0.3053357089471307
F-04073,3,4950.205876102689,644.92,4305.285876102689,0.687636793559192,-0.3061540311495108
A-61260N,W,219.84160305343505,16.39,203.45160305343506,0.6895116588487333,-0.306696714531294
A-61260N,E1,0.0,0.83,-0.83,0.6895116588487333,-0.3069394888417053
A-61260N,L,0.0,21.05,-21.05,0.6895116588487333,-0.3069635188888713
A-61260N,U,0.0,229.85,-229.85,0.6895116588487333,-0.3072116629961045
F-04073,E1,77.95481927710841,6.0,71.95481927710841,0.687636793559192,-0.31118504722096063
F-04073,W,0.0,143.02,-143.02,0.687636793559192,-0.3114405296663971
D-16106,1,4247.264902681993,0.0,4247.264902681993,0.6827498882422456,-0.31751465350241226
F-04074,2,45078.75892495434,25625.16,19453.598924954338,0.6748361165973409,-0.31772853215815233
F-04073,U,0.0,6493.71,-6493.71,0.687636793559192,-0.31898787784822213
D-16106,2,2605.9857040047737,0.0,2605.9857040047737,0.6827498882422456,-0.31946519833706866
F-04001,1,38769.60721557263,813.86,37955.74721557263,0.663713784122937,-0.32143925833368103
D-16106,3,930.2404785659099,0.0,930.2404785659099,0.6827498882422456,-0.3214567036192376
F-04074,3,16225.50812563913,305.51,15919.99812563913,0.6748361165973409,-0.3219279680569298
D-16106,E1,31.005416666666683,0.0,31.005416666666683,0.6827498882422456,-0.3225253812132406
D-16106,L,0.0,0.0,0.0,0.6827498882422456,-0.3225622289691704
D-16106,U,0.0,0.0,0.0,0.6827498882422456,-0.3225622289691704
D-16106,W,0.0,0.0,0.0,0.6827498882422456,-0.3225622289691704
F-04070,3,11032.63301634467,1675.74,9356.89301634467,0.6756374461020103,-0.32787620714144694
D-18120N,1,1840.385639863343,0.0,1840.385639863343,0.6794948362177156,-0.32789617341213884
D-18120N,2,1301.0926792548048,0.0,1301.0926792548048,0.6794948362177156,-0.32853708514704005
D-18120N,3,764.2871902748325,0.0,764.2871902748325,0.6794948362177156,-0.32917504069694825
D-18120N,E1,25.549999999999994,0.0,25.549999999999994,0.6794948362177156,-0.3300529778643848
D-18120N,L,0.0,0.0,0.0,0.6794948362177156,-0.33008334224149116
D-18120N,U,0.0,0.0,0.0,0.6794948362177156,-0.33008334224149116
D-18120N,W,0.0,0.0,0.0,0.6794948362177156,-0.33008334224149116
F-04073,1,40015.413603509165,56841.03,-16825.616396490834,0.687636793559192,-0.331266621568407
D-15206,3,15226.320566222996,413.19,14813.130566222995,0.6707868623509268,-0.3325995967656423
D-15206,1,14595.607621067435,342.62,14252.987621067434,0.6707868623509268,-0.33326528724001314
D-15206,2,14059.506081181342,670.5,13389.006081181342,0.6707868623509268,-0.3342920685038111
F-04001,2,28224.958630281053,2217.31,26007.64863028105,0.663713784122937,-0.33563873274259826
F-04074,1,14434.536595658457,10841.83,3592.7065956584574,0.6748361165973409,-0.33657808659769095
D-15106,2,5232.822023043953,0.0,5232.822023043953,0.6737347167263696,-0.3371738160033313
D-15106,1,4485.5304916955865,0.0,4485.5304916955865,0.6737347167263696,-0.33806191940318475
F-04070,E1,195.44152046783637,12.33,183.11152046783636,0.6756374461020103,-0.3387786009117877
F-04070,W,0.0,138.9,-138.9,0.6756374461020103,-0.33916128894466757
D-15106,3,2864.6070191706485,0.0,2864.6070191706485,0.6737347167263696,-0.3399882728896938
F-04074,E1,300.0,1.6,298.4,0.6748361165973409,-0.34049313817399474
F-04074,W,0.0,38.98,-38.98,0.6748361165973409,-0.3408940905633546
F-04074,U,0.0,1770.02,-1770.02,0.6748361165973409,-0.3429513097941258
D-15106,E1,26.26666666666665,0.0,26.26666666666665,0.6737347167263696,-0.3433614406712847
D-15106,L,0.0,0.0,0.0,0.6737347167263696,-0.34339265675629427
D-15106,U,0.0,0.0,0.0,0.6737347167263696,-0.34339265675629427
D-15106,W,0.0,0.0,0.0,0.6737347167263696,-0.34339265675629427
F-04070,1,50879.38397127577,55926.44,-5047.056028724233,0.6756374461020103,-0.34499428700936685
F-04001,3,19872.808878046224,2034.94,17837.868878046225,0.663713784122937,-0.34534794108987077
F-04070,U,0.0,6306.64,-6306.64,0.6756374461020103,-0.3464912139252554
F-04073,2,51460.68030554805,81794.34,-30333.659694451948,0.687636793559192,-0.3473199804986776
D-15206,E1,677.3997222222222,1.73,675.6697222222222,0.6707868623509268,-0.34940097415874305
D-15206,W,0.0,1.42,-1.42,0.6707868623509268,-0.3502056476483869
D-15206,L,0.0,5.92,-5.92,0.6707868623509268,-0.3502109955817325
D-15206,U,0.0,64.62,-64.62,0.6707868623509268,-0.35028075640115097
F-04071,L,23760.0,203.96,23556.04,0.6574777506896619,-0.352961256902101
A-61117,1,8067.32599974086,715.03,7352.295999740861,0.6656527559359159,-0.35332912425789353
A-61117,2,6037.624816199123,776.19,5261.434816199124,0.6656527559359159,-0.35581396564553047
A-61117,3,4726.128401884246,283.58,4442.548401884246,0.6656527559359159,-0.35678715452582555
F-04070,2,58914.841626983536,75089.07,-16174.22837301647,0.6756374461020103,-0.3582181483475123
A-61117,E1,875.8805555555555,13.1,862.7805555555555,0.6656527559359159,-0.3610414567113116
A-61117,W,0.0,1.78,-1.78,0.6656527559359159,-0.3620689260944888
A-61117,L,0.0,7.41,-7.41,0.6656527559359159,-0.3620756169533189
A-61117,U,0.0,80.91,-80.91,0.6656527559359159,-0.3621629665312961
F-04001,E1,45.90899859943979,2.47,43.43899859943979,0.663713784122937,-0.3664953688492567
F-04001,W,0.0,5.05,-5.05,0.663713784122937,-0.36655299461203494
F-04001,L,0.0,21.01,-21.01,0.663713784122937,-0.36657196194896713
F-04001,U,0.0,229.36,-229.36,0.663713784122937,-0.3668195712628658
T-31541,2,37050.34031733986,29305.01,7745.3303173398635,0.6592677348093554,-0.3676152409540425
D-18206,3,10236.603330340007,1479.71,8756.893330340008,0.6569997946897166,-0.37165336501230106
F-04071,1,45429.24187369432,38067.21,7362.031873694323,0.6574777506896619,-0.3722066960258077
T-31541,3,11702.01078240455,7938.87,3763.14078240455,0.6592677348093554,-0.37234779299896614
D-14212,1,1460.7887635041752,0.0,1460.7887635041752,0.6603818056408947,-0.37250980769949193
D-14212,2,721.2890436412263,0.0,721.2890436412263,0.6603818056408947,-0.37338865107968644
D-14212,3,288.4842801206232,0.0,288.4842801206232,0.6603818056408947,-0.37390300908567353
T-31541,1,13012.102422431479,10705.97,2306.1324224314794,0.6592677348093554,-0.3740793449085298
D-14212,E1,0.0,0.0,0.0,0.6603818056408947,-0.3742458523526341
D-14212,L,0.0,0.0,0.0,0.6603818056408947,-0.3742458523526341
D-14212,U,0.0,0.0,0.0,0.6603818056408947,-0.3742458523526341
D-14212,W,0.0,0.0,0.0,0.6603818056408947,-0.3742458523526341
D-18206,2,8584.898202091528,2434.89,6150.008202091529,0.6569997946897166,-0.3747514645468262
D-18206,1,7238.0897504376135,1294.7,5943.389750437614,0.6569997946897166,-0.37499701603736046
T-31541,E1,0.0,7.82,-7.82,0.6592677348093554,-0.3768293145351794
T-31541,W,0.0,47.79,-47.79,0.6592677348093554,-0.37687681606758416
T-31541,L,0.0,198.73,-198.73,0.6592677348093554,-0.37705619763629006
T-31541,U,0.0,2169.81,-2169.81,0.6592677348093554,-0.3793986875160089
D-18012,1,360.0,0.0,360.0,0.6574255504091067,-0.38064873200003424
D-18012,3,210.0,0.0,210.0,0.6574255504091067,-0.3808269964448857
F-04071,E1,95.92721518987348,9.27,86.65721518987348,0.6574777506896619,-0.3808529668563724
D-18012,2,60.0,0.0,60.0,0.6574255504091067,-0.3810052608897372
F-04071,W,0.0,90.76,-90.76,0.6574777506896619,-0.38106381473219186
D-18012,E1,0.0,0.0,0.0,0.6574255504091067,-0.38107656666767775
D-18012,L,0.0,0.0,0.0,0.6574255504091067,-0.38107656666767775
D-18012,U,0.0,0.0,0.0,0.6574255504091067,-0.38107656666767775
D-18012,W,0.0,0.0,0.0,0.6574255504091067,-0.38107656666767775
D-18206,E1,27.250277777777775,8.75,18.500277777777775,0.6569997946897166,-0.3820383302550271
D-18206,W,0.0,5.2,-5.2,0.6569997946897166,-0.38206649636743295
D-18206,L,0.0,21.63,-21.63,0.6569997946897166,-0.3820860222662924
D-18206,U,0.0,236.12,-236.12,0.6569997946897166,-0.3823409285381336
T-31510R,E1,0.0,9.36,-9.36,0.6562556280093684,-0.3837909094948587
T-31510R,W,0.0,57.21,-57.21,0.6562556280093684,-0.3838477758527664
T-31510R,L,0.0,237.89,-237.89,0.6562556280093684,-0.3840625013187381
T-31510,3,11478.514245296086,7999.94,3478.5742452960867,0.6540510290855184,-0.384739684626325
F-04071,U,0.0,4120.81,-4120.81,0.6574777506896619,-0.38585324557201617
T-31510R,U,0.0,2597.39,-2597.39,0.6562556280093684,-0.3868666010362516
T-31510,E1,0.0,53.58,-53.58,0.6540510290855184,-0.3889374013974414
T-31510,W,0.0,327.35,-327.35,0.6540510290855184,-0.389262757777888
T-31510,L,0.0,1361.28,-1361.28,0.6540510290855184,-0.39049151082765643
T-32206,E1,0.0,41.06,-41.06,0.6529957816738681,-0.3913607737068192
T-32206,W,0.0,250.85,-250.85,0.6529957816738681,-0.3916100943593884
D-18100N,2,2384.548545093259,0.0,2384.548545093259,0.6513977713234498,-0.3921704664733552
F-04071,2,41932.91126483049,51605.84,-9672.92873516951,0.6574777506896619,-0.3924515479991788
