Item Number,Description,Case Pack,unit dimension (L*W*H) (in),inner case dimension (L*W*H) (in),master case dimension (L*W*H) (in),Case/ Pallet,UPC#,Mstr Ctn UPC#,Country of Origin,Shelf Life (Months),Maufactuer/ CoPacker,Lead Time,MOQ,Allergens
T-31520,Tiger Balm Ointment Ultra Strength 10g,60,3.25 x 1.625 x 4.38,,9 x 7.38 x 11,119,039278315202,10039278315209,China,4 years,HPH,2.5,4166 dz,
T-31541,Tiger Balm Ointment Ultra Strength 50g,32,3 x 1.125 x 4.5,,13.5 x 10 x 5.5,98,039278315417,00039278315325,China,4 years,HPH,2.5,1666 dz,
T-32202,Tiger Balm Single Patch (12pc/box),144,6.5 x 5.1 x 1.25,,14 x 11 x 4.5,100,039278322026,10039278322023,Malaysia,3 years,HPH,Half a year or more,,
T-32206,Tiger Balm Patch Small (5pc/box),36,5.88 x 5 x 1.19,,18.5 x 11.25 x 8.25,56,039278322002,30039278322003,Malaysia,3 years,HPH,Half a year or more,20072 boxes (10036 incremental),
T-32300,Tiger Balm Patch Large (4pc/box),36,5.25 x 5.75 x 1.25,,17.5 x 11 x 8.5,40,039278323009,10039278323006,Taiwan,3 years,HPH,Half a year or more,2016/2688/... dz,
D-13206,POP Organic Green Tea 1.8gx100,BOX6,8.5 x 5.5 x 2.8,,11.18 x 8.82 x 8.94,136,039278132007,10039278132066,China,36 MONTHS,WHYD,3 MONTHS,1000 CASES,NO
D-14206,POP OG Jasmine Tea 1.8gx100 (6ct/cs),BOX6,8.5 x 5.5 x 2.8,,11.18 x 8.82 x 8.94,136,039278142006,10039278142065,China,36 MONTHS,WHYD,3 MONTHS,1000 CASES,NO
D-15206,POP Organic Oolong Tea 1.8gx100,BOX6,8.5 x 5.5 x 2.8,,11.18 x 8.82 x 8.94,136,039278152005,10039278152064,China,36 MONTHS,WHYD,3 MONTHS,1000 CASES,NO
D-18206,POP Organic White Tea 1.8gx100,BOX6,8.5 x 5.5 x 2.8,,11.18 x 8.82 x 8.94,136,039278182002,10039278182061,China,36 MONTHS,WHYD,3 MONTHS,1000 CASES,NO
D-03052,POP HT Blood Pressure 1.8gx18,BOX12,4.75 x 3.35 x 3,,10 x 10 x 6.4,125 cs ,039278030525,10039278030522,USA,60,ST,,,
D-03053,POP HT Blood Sugar 1.8gx18,BOX12,4.75 x 3.35 x 3,,10 x 10 x 6.4,125 cs ,039278030532,10039278030539,USA,60,ST,,,
D-03054,POP HT Cholesterol 1.8gx18,BOX12,4.75 x 3.35 x 3,,10 x 10 x 6.4,125 cs ,039278030549,10039278030546,USA,60,ST,,,
